county,office,,party,candidate,votes,,,
EL PASO,Secretary of State,,LIB,David Aitken,5269,,,
FREMONT,Secretary of State,,LIB,David Aitken,449,,,
GARFIELD,Secretary of State,,LIB,David Aitken,517,,,
GILPIN,Secretary of State,,LIB,David Aitken,166,,,
GRAND,Secretary of State,,LIB,David Aitken,192,,,
GUNNISON,Secretary of State,,LIB,David Aitken,253,,,
HINSDALE,Secretary of State,,LIB,David Aitken,36,,,
HUERFANO,Secretary of State,,LIB,David Aitken,72,,,
JACKSON,Secretary of State,,LIB,David Aitken,24,,,
JEFFERSON,Secretary of State,,LIB,David Aitken,5586,,,
KIOWA,Secretary of State,,LIB,David Aitken,12,,,
KIT CARSON,Secretary of State,,LIB,David Aitken,50,,,
LAKE,Secretary of State,,LIB,David Aitken,116,,,
LARIMER,Secretary of State,,LIB,David Aitken,3016,,,
LAS ANIMAS,Secretary of State,,LIB,David Aitken,107,,,
LA PLATA,Secretary of State,,LIB,David Aitken,566,,,
LINCOLN,Secretary of State,,LIB,David Aitken,41,,,
LOGAN,Secretary of State,,LIB,David Aitken,126,,,
MESA,Secretary of State,,LIB,David Aitken,1480,,,
MINERAL,Secretary of State,,LIB,David Aitken,18,,,
MOFFAT,Secretary of State,,LIB,David Aitken,116,,,
MONTEZUMA,Secretary of State,,LIB,David Aitken,247,,,
MONTROSE,Secretary of State,,LIB,David Aitken,431,,,
MORGAN,Secretary of State,,LIB,David Aitken,185,,,
OTERO,Secretary of State,,LIB,David Aitken,65,,,
OURAY,Secretary of State,,LIB,David Aitken,72,,,
PARK,Secretary of State,,LIB,David Aitken,339,,,
PHILLIPS,Secretary of State,,LIB,David Aitken,42,,,
PITKIN,Secretary of State,,LIB,David Aitken,275,,,
PROWERS,Secretary of State,,LIB,David Aitken,58,,,
PUEBLO,Secretary of State,,LIB,David Aitken,985,,,
RIO BLANCO,Secretary of State,,LIB,David Aitken,72,,,
RIO GRANDE,Secretary of State,,LIB,David Aitken,69,,,
ROUTT,Secretary of State,,LIB,David Aitken,264,,,
SAGUACHE,Secretary of State,,LIB,David Aitken,84,,,
SAN JUAN,Secretary of State,,LIB,David Aitken,35,,,
SAN MIGUEL,Secretary of State,,LIB,David Aitken,222,,,
SEDGWICK,Secretary of State,,LIB,David Aitken,20,,,
SUMMIT,Secretary of State,,LIB,David Aitken,371,,,
TELLER,Secretary of State,,LIB,David Aitken,327,,,
WASHINGTON,Secretary of State,,LIB,David Aitken,36,,,
WELD,Secretary of State,,LIB,David Aitken,1602,,,
YUMA,Secretary of State,,LIB,David Aitken,83,,,
TOTALS,Secretary of State,,LIB,David Aitken,43169,,,
ADAMS,Secretary of State,,ACP,Clyde J. Harkins,782,,,
ALAMOSA,Secretary of State,,ACP,Clyde J. Harkins,18,,,
ARAPAHOE,Secretary of State,,ACP,Clyde J. Harkins,1018,,,
ARCHULETA,Secretary of State,,ACP,Clyde J. Harkins,14,,,
BACA,Secretary of State,,ACP,Clyde J. Harkins,27,,,
BENT,Secretary of State,,ACP,Clyde J. Harkins,19,,,
BOULDER,Secretary of State,,ACP,Clyde J. Harkins,624,,,
BROOMFIELD,Secretary of State,,ACP,Clyde J. Harkins,100,,,
CHAFFEE,Secretary of State,,ACP,Clyde J. Harkins,67,,,
CHEYENNE,Secretary of State,,ACP,Clyde J. Harkins,10,,,
CLEAR CREEK,Secretary of State,,ACP,Clyde J. Harkins,50,,,
CONEJOS,Secretary of State,,ACP,Clyde J. Harkins,37,,,
COSTILLA,Secretary of State,,ACP,Clyde J. Harkins,7,,,
CROWLEY,Secretary of State,,ACP,Clyde J. Harkins,19,,,
CUSTER,Secretary of State,,ACP,Clyde J. Harkins,23,,,
DELTA,Secretary of State,,ACP,Clyde J. Harkins,79,,,
DENVER,Secretary of State,,ACP,Clyde J. Harkins,1152,,,
DOLORES,Secretary of State,,ACP,Clyde J. Harkins,10,,,
DOUGLAS,Secretary of State,,ACP,Clyde J. Harkins,243,,,
EAGLE,Secretary of State,,ACP,Clyde J. Harkins,94,,,
ELBERT,Secretary of State,,ACP,Clyde J. Harkins,90,,,
EL PASO,Secretary of State,,ACP,Clyde J. Harkins,988,,,
FREMONT,Secretary of State,,ACP,Clyde J. Harkins,190,,,
GARFIELD,Secretary of State,,ACP,Clyde J. Harkins,175,,,
GILPIN,Secretary of State,,ACP,Clyde J. Harkins,48,,,
GRAND,Secretary of State,,ACP,Clyde J. Harkins,52,,,
GUNNISON,Secretary of State,,ACP,Clyde J. Harkins,58,,,
HINSDALE,Secretary of State,,ACP,Clyde J. Harkins,5,,,
HUERFANO,Secretary of State,,ACP,Clyde J. Harkins,24,,,
JACKSON,Secretary of State,,ACP,Clyde J. Harkins,8,,,
JEFFERSON,Secretary of State,,ACP,Clyde J. Harkins,1638,,,
KIOWA,Secretary of State,,ACP,Clyde J. Harkins,10,,,
KIT CARSON,Secretary of State,,ACP,Clyde J. Harkins,46,,,
LAKE,Secretary of State,,ACP,Clyde J. Harkins,42,,,
LARIMER,Secretary of State,,ACP,Clyde J. Harkins,934,,,
LAS ANIMAS,Secretary of State,,ACP,Clyde J. Harkins,46,,,
LA PLATA,Secretary of State,,ACP,Clyde J. Harkins,74,,,
LINCOLN,Secretary of State,,ACP,Clyde J. Harkins,15,,,
LOGAN,Secretary of State,,ACP,Clyde J. Harkins,61,,,
MESA,Secretary of State,,ACP,Clyde J. Harkins,368,,,
MINERAL,Secretary of State,,ACP,Clyde J. Harkins,4,,,
MOFFAT,Secretary of State,,ACP,Clyde J. Harkins,90,,,
MONTEZUMA,Secretary of State,,ACP,Clyde J. Harkins,37,,,
MONTROSE,Secretary of State,,ACP,Clyde J. Harkins,144,,,
MORGAN,Secretary of State,,ACP,Clyde J. Harkins,89,,,
OTERO,Secretary of State,,ACP,Clyde J. Harkins,41,,,
OURAY,Secretary of State,,ACP,Clyde J. Harkins,15,,,
PARK,Secretary of State,,ACP,Clyde J. Harkins,93,,,
PHILLIPS,Secretary of State,,ACP,Clyde J. Harkins,16,,,
PITKIN,Secretary of State,,ACP,Clyde J. Harkins,36,,,
PROWERS,Secretary of State,,ACP,Clyde J. Harkins,34,,,
PUEBLO,Secretary of State,,ACP,Clyde J. Harkins,379,,,
RIO BLANCO,Secretary of State,,ACP,Clyde J. Harkins,17,,,
RIO GRANDE,Secretary of State,,ACP,Clyde J. Harkins,59,,,
ROUTT,Secretary of State,,ACP,Clyde J. Harkins,77,,,
SAGUACHE,Secretary of State,,ACP,Clyde J. Harkins,11,,,
SAN JUAN,Secretary of State,,ACP,Clyde J. Harkins,6,,,
SAN MIGUEL,Secretary of State,,ACP,Clyde J. Harkins,15,,,
SEDGWICK,Secretary of State,,ACP,Clyde J. Harkins,7,,,
SUMMIT,Secretary of State,,ACP,Clyde J. Harkins,79,,,
TELLER,Secretary of State,,ACP,Clyde J. Harkins,48,,,
WASHINGTON,Secretary of State,,ACP,Clyde J. Harkins,24,,,
WELD,Secretary of State,,ACP,Clyde J. Harkins,704,,,
YUMA,Secretary of State,,ACP,Clyde J. Harkins,13,,,
TOTALS,Secretary of State,,ACP,Clyde J. Harkins,11303,,,
ADAMS,Secretary of State,,,,81632,,,
ALAMOSA,Secretary of State,,,,4525,,,
ARAPAHOE,Secretary of State,,,,147990,,,
ARCHULETA,Secretary of State,,,,3809,,,
BACA,Secretary of State,,,,2063,,,
BENT,Secretary of State,,,,1930,,,
BOULDER,Secretary of State,,,,100929,,,
BROOMFIELD,Secretary of State,,,,13632,,,
CHAFFEE,Secretary of State,,,,6638,,,
CHEYENNE,Secretary of State,,,,1016,,,
CLEAR CREEK,Secretary of State,,,,3894,,,
CONEJOS,Secretary of State,,,,3209,,,
COSTILLA,Secretary of State,,,,1559,,,
CROWLEY,Secretary of State,,,,1273,,,
CUSTER,Secretary of State,,,,1894,,,
DELTA,Secretary of State,,,,10874,,,
DENVER,Secretary of State,,,,140625,,,
DOLORES,Secretary of State,,,,807,,,
DOUGLAS,Secretary of State,,,,70923,,,
EAGLE,Secretary of State,,,,10915,,,
ELBERT,Secretary of State,,,,7702,,,
EL PASO,Secretary of State,,,,148389,,,
FREMONT,Secretary of State,,,,13581,,,
GARFIELD,Secretary of State,,,,13326,,,
GILPIN,Secretary of State,,,,2201,,,
GRAND,Secretary of State,,,,4849,,,
GUNNISON,Secretary of State,,,,5103,,,
HINSDALE,Secretary of State,,,,503,,,
HUERFANO,Secretary of State,,,,2723,,,
JACKSON,Secretary of State,,,,795,,,
JEFFERSON,Secretary of State,,,,182860,,,
KIOWA,Secretary of State,,,,856,,,
KIT CARSON,Secretary of State,,,,2946,,,
LAKE,Secretary of State,,,,2269,,,
LARIMER,Secretary of State,,,,89692,,,
LAS ANIMAS,Secretary of State,,,,5017,,,
LA PLATA,Secretary of State,,,,15232,,,
LINCOLN,Secretary of State,,,,1913,,,
LOGAN,Secretary of State,,,,6603,,,
MESA,Secretary of State,,,,40122,,,
MINERAL,Secretary of State,,,,402,,,
MOFFAT,Secretary of State,,,,4368,,,
MONTEZUMA,Secretary of State,,,,7671,,,
MONTROSE,Secretary of State,,,,11871,,,
MORGAN,Secretary of State,,,,7447,,,
OTERO,Secretary of State,,,,6084,,,
OURAY,Secretary of State,,,,1806,,,
PARK,Secretary of State,,,,5648,,,
PHILLIPS,Secretary of State,,,,1816,,,
PITKIN,Secretary of State,,,,5688,,,
PROWERS,Secretary of State,,,,3961,,,
PUEBLO,Secretary of State,,,,47966,,,
RIO BLANCO,Secretary of State,,,,2334,,,
RIO GRANDE,Secretary of State,,,,4476,,,
ROUTT,Secretary of State,,,,7140,,,
SAGUACHE,Secretary of State,,,,1975,,,
SAN JUAN,Secretary of State,,,,378,,,
SAN MIGUEL,Secretary of State,,,,2372,,,
SEDGWICK,Secretary of State,,,,1118,,,
SUMMIT,Secretary of State,,,,7700,,,
TELLER,Secretary of State,,,,7645,,,
WASHINGTON,Secretary of State,,,,2084,,,
WELD,Secretary of State,,,,54051,,,
YUMA,Secretary of State,,,,3741,,,
TOTALS,Secretary of State,,,,1356561,,,
ADAMS,State Treasurer,,REP,Mike Coffman,39753,,,
ALAMOSA,State Treasurer,,REP,Mike Coffman,2182,,,
ARAPAHOE,State Treasurer,,REP,Mike Coffman,89749,,,
ARCHULETA,State Treasurer,,REP,Mike Coffman,2391,,,
BACA,State Treasurer,,REP,Mike Coffman,1270,,,
BENT,State Treasurer,,REP,Mike Coffman,967,,,
BOULDER,State Treasurer,,REP,Mike Coffman,39967,,,
BROOMFIELD,State Treasurer,,REP,Mike Coffman,7864,,,
CHAFFEE,State Treasurer,,REP,Mike Coffman,3727,,,
CHEYENNE,State Treasurer,,REP,Mike Coffman,777,,,
CLEAR CREEK,State Treasurer,,REP,Mike Coffman,2009,,,
CONEJOS,State Treasurer,,REP,Mike Coffman,1344,,,
COSTILLA,State Treasurer,,REP,Mike Coffman,354,,,
CROWLEY,State Treasurer,,REP,Mike Coffman,787,,,
CUSTER,State Treasurer,,REP,Mike Coffman,1298,,,
DELTA,State Treasurer,,REP,Mike Coffman,6841,,,
DENVER,State Treasurer,,REP,Mike Coffman,54542,,,
DOLORES,State Treasurer,,REP,Mike Coffman,439,,,
DOUGLAS,State Treasurer,,REP,Mike Coffman,51656,,,
EAGLE,State Treasurer,,REP,Mike Coffman,5873,,,
ELBERT,State Treasurer,,REP,Mike Coffman,5682,,,
EL PASO,State Treasurer,,REP,Mike Coffman,99522,,,
FREMONT,State Treasurer,,REP,Mike Coffman,8280,,,
GARFIELD,State Treasurer,,REP,Mike Coffman,7386,,,
GILPIN,State Treasurer,,REP,Mike Coffman,976,,,
GRAND,State Treasurer,,REP,Mike Coffman,3073,,,
GUNNISON,State Treasurer,,REP,Mike Coffman,2369,,,
HINSDALE,State Treasurer,,REP,Mike Coffman,307,,,
HUERFANO,State Treasurer,,REP,Mike Coffman,1084,,,
JACKSON,State Treasurer,,REP,Mike Coffman,573,,,
JEFFERSON,State Treasurer,,REP,Mike Coffman,106802,,,
KIOWA,State Treasurer,,REP,Mike Coffman,614,,,
KIT CARSON,State Treasurer,,REP,Mike Coffman,2150,,,
LAKE,State Treasurer,,REP,Mike Coffman,908,,,
LARIMER,State Treasurer,,REP,Mike Coffman,52626,,,
LAS ANIMAS,State Treasurer,,REP,Mike Coffman,1830,,,
LA PLATA,State Treasurer,,REP,Mike Coffman,7918,,,
LINCOLN,State Treasurer,,REP,Mike Coffman,1393,,,
LOGAN,State Treasurer,,REP,Mike Coffman,4590,,,
MESA,State Treasurer,,REP,Mike Coffman,25156,,,
MINERAL,State Treasurer,,REP,Mike Coffman,213,,,
MOFFAT,State Treasurer,,REP,Mike Coffman,2884,,,
MONTEZUMA,State Treasurer,,REP,Mike Coffman,4626,,,
MONTROSE,State Treasurer,,REP,Mike Coffman,7692,,,
MORGAN,State Treasurer,,REP,Mike Coffman,4996,,,
OTERO,State Treasurer,,REP,Mike Coffman,3465,,,
OURAY,State Treasurer,,REP,Mike Coffman,1037,,,
PARK,State Treasurer,,REP,Mike Coffman,3366,,,
PHILLIPS,State Treasurer,,REP,Mike Coffman,1298,,,
PITKIN,State Treasurer,,REP,Mike Coffman,2180,,,
PROWERS,State Treasurer,,REP,Mike Coffman,2560,,,
PUEBLO,State Treasurer,,REP,Mike Coffman,19852,,,
RIO BLANCO,State Treasurer,,REP,Mike Coffman,1717,,,
RIO GRANDE,State Treasurer,,REP,Mike Coffman,2598,,,
ROUTT,State Treasurer,,REP,Mike Coffman,3571,,,
SAGUACHE,State Treasurer,,REP,Mike Coffman,821,,,
SAN JUAN,State Treasurer,,REP,Mike Coffman,156,,,
SAN MIGUEL,State Treasurer,,REP,Mike Coffman,792,,,
SEDGWICK,State Treasurer,,REP,Mike Coffman,768,,,
SUMMIT,State Treasurer,,REP,Mike Coffman,3774,,,
TELLER,State Treasurer,,REP,Mike Coffman,5127,,,
WASHINGTON,State Treasurer,,REP,Mike Coffman,1617,,,
WELD,State Treasurer,,REP,Mike Coffman,34124,,,
YUMA,State Treasurer,,REP,Mike Coffman,2683,,,
TOTALS,State Treasurer,,REP,Mike Coffman,758946,,,
ADAMS,State Treasurer,,DEM,Terry L. Phillips,36075,,,
ALAMOSA,State Treasurer,,DEM,Terry L. Phillips,1791,,,
ARAPAHOE,State Treasurer,,DEM,Terry L. Phillips,50765,,,
ARCHULETA,State Treasurer,,DEM,Terry L. Phillips,1056,,,
BACA,State Treasurer,,DEM,Terry L. Phillips,623,,,
BENT,State Treasurer,,DEM,Terry L. Phillips,727,,,
BOULDER,State Treasurer,,DEM,Terry L. Phillips,54829,,,
BROOMFIELD,State Treasurer,,DEM,Terry L. Phillips,5103,,,
CHAFFEE,State Treasurer,,DEM,Terry L. Phillips,2331,,,
CHEYENNE,State Treasurer,,DEM,Terry L. Phillips,197,,,
CLEAR CREEK,State Treasurer,,DEM,Terry L. Phillips,1539,,,
CONEJOS,State Treasurer,,DEM,Terry L. Phillips,1344,,,
COSTILLA,State Treasurer,,DEM,Terry L. Phillips,791,,,
CROWLEY,State Treasurer,,DEM,Terry L. Phillips,386,,,
CUSTER,State Treasurer,,DEM,Terry L. Phillips,477,,,
DELTA,State Treasurer,,DEM,Terry L. Phillips,3286,,,
DENVER,State Treasurer,,DEM,Terry L. Phillips,80303,,,
DOLORES,State Treasurer,,DEM,Terry L. Phillips,293,,,
DOUGLAS,State Treasurer,,DEM,Terry L. Phillips,16383,,,
EAGLE,State Treasurer,,DEM,Terry L. Phillips,4237,,,
ELBERT,State Treasurer,,DEM,Terry L. Phillips,1675,,,
EL PASO,State Treasurer,,DEM,Terry L. Phillips,38881,,,
FREMONT,State Treasurer,,DEM,Terry L. Phillips,4345,,,
GARFIELD,State Treasurer,,DEM,Terry L. Phillips,4903,,,
GILPIN,State Treasurer,,DEM,Terry L. Phillips,977,,,
GRAND,State Treasurer,,DEM,Terry L. Phillips,1426,,,
GUNNISON,State Treasurer,,DEM,Terry L. Phillips,2190,,,
HINSDALE,State Treasurer,,DEM,Terry L. Phillips,135,,,
HUERFANO,State Treasurer,,DEM,Terry L. Phillips,1294,,,
JACKSON,State Treasurer,,DEM,Terry L. Phillips,174,,,
JEFFERSON,State Treasurer,,DEM,Terry L. Phillips,65732,,,
KIOWA,State Treasurer,,DEM,Terry L. Phillips,212,,,
KIT CARSON,State Treasurer,,DEM,Terry L. Phillips,647,,,
LAKE,State Treasurer,,DEM,Terry L. Phillips,1069,,,
LARIMER,State Treasurer,,DEM,Terry L. Phillips,31046,,,
LAS ANIMAS,State Treasurer,,DEM,Terry L. Phillips,2691,,,
LA PLATA,State Treasurer,,DEM,Terry L. Phillips,5876,,,
LINCOLN,State Treasurer,,DEM,Terry L. Phillips,447,,,
LOGAN,State Treasurer,,DEM,Terry L. Phillips,1757,,,
MESA,State Treasurer,,DEM,Terry L. Phillips,11775,,,
MINERAL,State Treasurer,,DEM,Terry L. Phillips,158,,,
MOFFAT,State Treasurer,,DEM,Terry L. Phillips,1161,,,
MONTEZUMA,State Treasurer,,DEM,Terry L. Phillips,2544,,,
MONTROSE,State Treasurer,,DEM,Terry L. Phillips,3404,,,
MORGAN,State Treasurer,,DEM,Terry L. Phillips,2077,,,
OTERO,State Treasurer,,DEM,Terry L. Phillips,2174,,,
OURAY,State Treasurer,,DEM,Terry L. Phillips,628,,,
PARK,State Treasurer,,DEM,Terry L. Phillips,1737,,,
PHILLIPS,State Treasurer,,DEM,Terry L. Phillips,446,,,
PITKIN,State Treasurer,,DEM,Terry L. Phillips,2906,,,
PROWERS,State Treasurer,,DEM,Terry L. Phillips,1057,,,
PUEBLO,State Treasurer,,DEM,Terry L. Phillips,23677,,,
RIO BLANCO,State Treasurer,,DEM,Terry L. Phillips,474,,,
RIO GRANDE,State Treasurer,,DEM,Terry L. Phillips,1430,,,
ROUTT,State Treasurer,,DEM,Terry L. Phillips,2978,,,
SAGUACHE,State Treasurer,,DEM,Terry L. Phillips,949,,,
SAN JUAN,State Treasurer,,DEM,Terry L. Phillips,153,,,
SAN MIGUEL,State Treasurer,,DEM,Terry L. Phillips,1213,,,
SEDGWICK,State Treasurer,,DEM,Terry L. Phillips,303,,,
SUMMIT,State Treasurer,,DEM,Terry L. Phillips,3288,,,
TELLER,State Treasurer,,DEM,Terry L. Phillips,1993,,,
WASHINGTON,State Treasurer,,DEM,Terry L. Phillips,380,,,
WELD,State Treasurer,,DEM,Terry L. Phillips,16592,,,
YUMA,State Treasurer,,DEM,Terry L. Phillips,891,,,
TOTALS,State Treasurer,,DEM,Terry L. Phillips,512401,,,
ADAMS,State Treasurer,,CRP,Michael Sanchez,3207,,,
ALAMOSA,State Treasurer,,CRP,Michael Sanchez,371,,,
ARAPAHOE,State Treasurer,,CRP,Michael Sanchez,3424,,,
ARCHULETA,State Treasurer,,CRP,Michael Sanchez,212,,,
BACA,State Treasurer,,CRP,Michael Sanchez,57,,,
BENT,State Treasurer,,CRP,Michael Sanchez,113,,,
BOULDER,State Treasurer,,CRP,Michael Sanchez,1959,,,
BROOMFIELD,State Treasurer,,CRP,Michael Sanchez,315,,,
CHAFFEE,State Treasurer,,CRP,Michael Sanchez,326,,,
CHEYENNE,State Treasurer,,CRP,Michael Sanchez,24,,,
CLEAR CREEK,State Treasurer,,CRP,Michael Sanchez,117,,,
CONEJOS,State Treasurer,,CRP,Michael Sanchez,431,,,
COSTILLA,State Treasurer,,CRP,Michael Sanchez,341,,,
CROWLEY,State Treasurer,,CRP,Michael Sanchez,67,,,
CUSTER,State Treasurer,,CRP,Michael Sanchez,37,,,
DELTA,State Treasurer,,CRP,Michael Sanchez,322,,,
DENVER,State Treasurer,,CRP,Michael Sanchez,7410,,,
DOLORES,State Treasurer,,CRP,Michael Sanchez,28,,,
DOUGLAS,State Treasurer,,CRP,Michael Sanchez,1069,,,
EAGLE,State Treasurer,,CRP,Michael Sanchez,413,,,
ELBERT,State Treasurer,,CRP,Michael Sanchez,294,,,
EL PASO,State Treasurer,,CRP,Michael Sanchez,4479,,,
FREMONT,State Treasurer,,CRP,Michael Sanchez,439,,,
GARFIELD,State Treasurer,,CRP,Michael Sanchez,449,,,
GILPIN,State Treasurer,,CRP,Michael Sanchez,88,,,
GRAND,State Treasurer,,CRP,Michael Sanchez,101,,,
GUNNISON,State Treasurer,,CRP,Michael Sanchez,223,,,
HINSDALE,State Treasurer,,CRP,Michael Sanchez,14,,,
HUERFANO,State Treasurer,,CRP,Michael Sanchez,258,,,
JACKSON,State Treasurer,,CRP,Michael Sanchez,15,,,
JEFFERSON,State Treasurer,,CRP,Michael Sanchez,4453,,,
KIOWA,State Treasurer,,CRP,Michael Sanchez,16,,,
KIT CARSON,State Treasurer,,CRP,Michael Sanchez,65,,,
LAKE,State Treasurer,,CRP,Michael Sanchez,173,,,
LARIMER,State Treasurer,,CRP,Michael Sanchez,2508,,,
LAS ANIMAS,State Treasurer,,CRP,Michael Sanchez,342,,,
LA PLATA,State Treasurer,,CRP,Michael Sanchez,600,,,
LINCOLN,State Treasurer,,CRP,Michael Sanchez,23,,,
LOGAN,State Treasurer,,CRP,Michael Sanchez,134,,,
MESA,State Treasurer,,CRP,Michael Sanchez,1260,,,
MINERAL,State Treasurer,,CRP,Michael Sanchez,11,,,
MOFFAT,State Treasurer,,CRP,Michael Sanchez,168,,,
MONTEZUMA,State Treasurer,,CRP,Michael Sanchez,227,,,
MONTROSE,State Treasurer,,CRP,Michael Sanchez,560,,,
MORGAN,State Treasurer,,CRP,Michael Sanchez,196,,,
OTERO,State Treasurer,,CRP,Michael Sanchez,319,,,
OURAY,State Treasurer,,CRP,Michael Sanchez,31,,,
PARK,State Treasurer,,CRP,Michael Sanchez,202,,,
PHILLIPS,State Treasurer,,CRP,Michael Sanchez,26,,,
PITKIN,State Treasurer,,CRP,Michael Sanchez,181,,,
PROWERS,State Treasurer,,CRP,Michael Sanchez,155,,,
PUEBLO,State Treasurer,,CRP,Michael Sanchez,3485,,,
RIO BLANCO,State Treasurer,,CRP,Michael Sanchez,50,,,
RIO GRANDE,State Treasurer,,CRP,Michael Sanchez,353,,,
ROUTT,State Treasurer,,CRP,Michael Sanchez,228,,,
SAGUACHE,State Treasurer,,CRP,Michael Sanchez,104,,,
SAN JUAN,State Treasurer,,CRP,Michael Sanchez,32,,,
SAN MIGUEL,State Treasurer,,CRP,Michael Sanchez,71,,,
SEDGWICK,State Treasurer,,CRP,Michael Sanchez,32,,,
SUMMIT,State Treasurer,,CRP,Michael Sanchez,243,,,
TELLER,State Treasurer,,CRP,Michael Sanchez,140,,,
WASHINGTON,State Treasurer,,CRP,Michael Sanchez,32,,,
WELD,State Treasurer,,CRP,Michael Sanchez,1829,,,
YUMA,State Treasurer,,CRP,Michael Sanchez,67,,,
TOTALS,State Treasurer,,CRP,Michael Sanchez,44919,,,
ADAMS,State Treasurer,,LIB,Michael Gaar Potter,2027,,,
ALAMOSA,State Treasurer,,LIB,Michael Gaar Potter,89,,,
ARAPAHOE,State Treasurer,,LIB,Michael Gaar Potter,3168,,,
ARCHULETA,State Treasurer,,LIB,Michael Gaar Potter,89,,,
BACA,State Treasurer,,LIB,Michael Gaar Potter,32,,,
BENT,State Treasurer,,LIB,Michael Gaar Potter,28,,,
BOULDER,State Treasurer,,LIB,Michael Gaar Potter,3538,,,
BROOMFIELD,State Treasurer,,LIB,Michael Gaar Potter,350,,,
CHAFFEE,State Treasurer,,LIB,Michael Gaar Potter,194,,,
CHEYENNE,State Treasurer,,LIB,Michael Gaar Potter,13,,,
CLEAR CREEK,State Treasurer,,LIB,Michael Gaar Potter,200,,,
CONEJOS,State Treasurer,,LIB,Michael Gaar Potter,25,,,
COSTILLA,State Treasurer,,LIB,Michael Gaar Potter,37,,,
CROWLEY,State Treasurer,,LIB,Michael Gaar Potter,19,,,
CUSTER,State Treasurer,,LIB,Michael Gaar Potter,54,,,
DELTA,State Treasurer,,LIB,Michael Gaar Potter,322,,,
DENVER,State Treasurer,,LIB,Michael Gaar Potter,3596,,,
DOLORES,State Treasurer,,LIB,Michael Gaar Potter,22,,,
DOUGLAS,State Treasurer,,LIB,Michael Gaar Potter,1324,,,
EAGLE,State Treasurer,,LIB,Michael Gaar Potter,241,,,
ELBERT,State Treasurer,,LIB,Michael Gaar Potter,301,,,
EL PASO,State Treasurer,,LIB,Michael Gaar Potter,4334,,,
FREMONT,State Treasurer,,LIB,Michael Gaar Potter,407,,,
GARFIELD,State Treasurer,,LIB,Michael Gaar Potter,414,,,
GILPIN,State Treasurer,,LIB,Michael Gaar Potter,132,,,
GRAND,State Treasurer,,LIB,Michael Gaar Potter,162,,,
GUNNISON,State Treasurer,,LIB,Michael Gaar Potter,243,,,
HINSDALE,State Treasurer,,LIB,Michael Gaar Potter,34,,,
HUERFANO,State Treasurer,,LIB,Michael Gaar Potter,46,,,
JACKSON,State Treasurer,,LIB,Michael Gaar Potter,20,,,
JEFFERSON,State Treasurer,,LIB,Michael Gaar Potter,4634,,,
KIOWA,State Treasurer,,LIB,Michael Gaar Potter,6,,,
KIT CARSON,State Treasurer,,LIB,Michael Gaar Potter,42,,,
LAKE,State Treasurer,,LIB,Michael Gaar Potter,96,,,
LARIMER,State Treasurer,,LIB,Michael Gaar Potter,2514,,,
LAS ANIMAS,State Treasurer,,LIB,Michael Gaar Potter,93,,,
LA PLATA,State Treasurer,,LIB,Michael Gaar Potter,495,,,
LINCOLN,State Treasurer,,LIB,Michael Gaar Potter,33,,,
LOGAN,State Treasurer,,LIB,Michael Gaar Potter,75,,,
MESA,State Treasurer,,LIB,Michael Gaar Potter,1269,,,
MINERAL,State Treasurer,,LIB,Michael Gaar Potter,14,,,
MOFFAT,State Treasurer,,LIB,Michael Gaar Potter,90,,,
MONTEZUMA,State Treasurer,,LIB,Michael Gaar Potter,192,,,
MONTROSE,State Treasurer,,LIB,Michael Gaar Potter,379,,,
MORGAN,State Treasurer,,LIB,Michael Gaar Potter,125,,,
OTERO,State Treasurer,,LIB,Michael Gaar Potter,66,,,
OURAY,State Treasurer,,LIB,Michael Gaar Potter,75,,,
PARK,State Treasurer,,LIB,Michael Gaar Potter,293,,,
PHILLIPS,State Treasurer,,LIB,Michael Gaar Potter,28,,,
PITKIN,State Treasurer,,LIB,Michael Gaar Potter,258,,,
PROWERS,State Treasurer,,LIB,Michael Gaar Potter,45,,,
PUEBLO,State Treasurer,,LIB,Michael Gaar Potter,647,,,
RIO BLANCO,State Treasurer,,LIB,Michael Gaar Potter,61,,,
RIO GRANDE,State Treasurer,,LIB,Michael Gaar Potter,58,,,
ROUTT,State Treasurer,,LIB,Michael Gaar Potter,222,,,
SAGUACHE,State Treasurer,,LIB,Michael Gaar Potter,60,,,
SAN JUAN,State Treasurer,,LIB,Michael Gaar Potter,32,,,
SAN MIGUEL,State Treasurer,,LIB,Michael Gaar Potter,221,,,
SEDGWICK,State Treasurer,,LIB,Michael Gaar Potter,14,,,
SUMMIT,State Treasurer,,LIB,Michael Gaar Potter,297,,,
TELLER,State Treasurer,,LIB,Michael Gaar Potter,295,,,
WASHINGTON,State Treasurer,,LIB,Michael Gaar Potter,32,,,
WELD,State Treasurer,,LIB,Michael Gaar Potter,1272,,,
YUMA,State Treasurer,,LIB,Michael Gaar Potter,55,,,
TOTALS,State Treasurer,,LIB,Michael Gaar Potter,35549,,,
ADAMS,State Treasurer,,,,81062,,,
ALAMOSA,State Treasurer,,,,4433,,,
ARAPAHOE,State Treasurer,,,,147106,,,
ARCHULETA,State Treasurer,,,,3748,,,
BACA,State Treasurer,,,,1982,,,
BENT,State Treasurer,,,,1835,,,
BOULDER,State Treasurer,,,,100293,,,
BROOMFIELD,State Treasurer,,,,13632,,,
CHAFFEE,State Treasurer,,,,6578,,,
CHEYENNE,State Treasurer,,,,1011,,,
CLEAR CREEK,State Treasurer,,,,3865,,,
